datetime,Media,Title,Article,Summary,Date,Key_words
2022-10-31 08:40:18.189032,InvestorsObserver,What's Next for Bullish Rated Tether (USDT)?,Tether has a Bullish sentiment reading. Find out what this means for you and get the rest of the rankings on Tether!,"Tether has a Bullish sentiment reading.
Find out what this means for you and get the rest of the rankings on Tether!",4 hours ago,"['sentiment', 'rated', 'whats', 'tether', 'rest', 'rankings', 'means', 'usdt', 'reading', 'bullish']"
2022-10-30 12:40:18.200257,Altcoin Buzz,,,,1 day ago,[]
2022-10-31 08:40:18.211525,Altcoin Buzz,,,,4 hours ago,[]
2022-10-30 12:40:18.222577,Investing.com,El Salvador Joins Hands with Lugano to Establish Bitcoin Embassy By CoinEdition,"© Reuters El Salvador Joins Hands with Lugano to Establish Bitcoin Embassy

USDT/USD -0.04% Add to/Remove from Watchlist BTC/USD -0.01% Add to/Remove from Watchlist

El Salvador has signed an MoU with Lugano to boost adoption

A “Bitcoin office” has been established in Lugano

Under “Plan B,” users will be able to utilize Bitcoin, , and LVGA tokens as legal tender.

Switzerland’s Lugano city reportedly signed an economic cooperation pact with El Salvador on October 28 during the city’s Plan B event powered by stablecoin issuer Tether. According to Lugano Mayor Michele Foletti, El Salvador’s adoption of Bitcoin as a legal tender sparked Lugano’s interest in the arrangement, which will allow the pro-crypto country to create a physical government presence to “foster cooperation with educational and research institutions.”

El Salvador’s U.S. Ambassador Milena Mayorga said at Friday’s Plan B Forum in Lugano that her country will be building a “bitcoin office” and appointing an Honorary Consul to promote awareness of bitcoin throughout Lugano, Italy, and Europe.

Later, Mayorga was joined on stage by Mexican politician Indira Kempis, Serbia’s Prince Filip Karaorevi, Lugano’s Director of Economic Promotion Pietro Poretti, and, through video link, former congressperson and probable presidential contender Zury Rios from Guatemala. Rios did not make any concrete policy promises, but she did express her support for the idea that her country would embrace bitcoin.

Under the city’s “Plan B” initiative, people will be able to use Bitcoin, Tether, and LVGA tokens as “de facto” legal tender at a variety of local businesses and institutions, as well as for the payment of taxes, parking fines, public services, and school tuition.

According to El Salvador’s ambassador to the United Nations in Geneva, Joaquin Alexander Maza Martelli, “the use of Bitcoin and Blockchain technology creates new opportunities for growth and investment that benefit our communities; it is a new alternative financial and exchange tool that fosters trade and the provision of services in a globalized world.”

Last year, El Salvador became the first country in the world to recognize Bitcoin as legal tender. Businesses in the nation are required by law to accept the asset as payment if they have the technical capability to do so.

Meanwhile, Nayib Bukele, the president of El Salvador, has invested millions of dollars in Bitcoin, and Bitcoin aficionados have rushed to the country to attend conferences and promote the currency’s adoption.

The post El Salvador Joins Hands with Lugano to Establish Bitcoin Embassy appeared first on Coin Edition.

See original on CoinEdition","© Reuters El Salvador Joins Hands with Lugano to Establish Bitcoin EmbassyUSDT/USD -0.04% Add to/Remove from Watchlist BTC/USD -0.01% Add to/Remove from WatchlistEl Salvador has signed an MoU with Lugano to boost adoptionA “Bitcoin office” has been established in LuganoUnder “Plan B,” users will be able to utilize Bitcoin, , and LVGA tokens as legal tender.
Switzerland’s Lugano city reportedly signed an economic cooperation pact with El Salvador on October 28 during the city’s Plan B event powered by stablecoin issuer Tether.
Ambassador Milena Mayorga said at Friday’s Plan B Forum in Lugano that her country will be building a “bitcoin office” and appointing an Honorary Consul to promote awareness of bitcoin throughout Lugano, Italy, and Europe.
Meanwhile, Nayib Bukele, the president of El Salvador, has invested millions of dollars in Bitcoin, and Bitcoin aficionados have rushed to the country to attend conferences and promote the currency’s adoption.
The post El Salvador Joins Hands with Lugano to Establish Bitcoin Embassy appeared first on Coin Edition.",1 day ago,"['b', 'country', 'hands', 'salvadors', 'salvador', 'establish', 'lugano', 'embassy', 'el', 'bitcoin', 'coinedition', 'plan', 'tender', 'joins', 'legal']"
2022-10-31 09:40:18.224719,CryptoMode,Big Eyes Is On An Unstoppable Rise: Can The Cat Coin Surpass Top 5 Cryptocurrencies Like Tether And Binance? – CryptoMode,"Tether (USDT) and Binance (BNB) are two of the most popular cryptocurrencies around. But with the crypto industry constantly changing, there is no guarantee that these coins will maintain their position in the foreseeable future.

This is especially because quirkier, stranger, and ultimately more lucrative cryptos like Big Eyes Coin (BIG) are being introduced.

Cryptocurrency will always be about making a healthy return from your investment. A digital, business proposition where staking your hold in the right coin can be life-changing.

However, in an industry so volatile, the need for additional perks with each investment is becoming increasingly important. It’s simply not enough anymore to check coinmarket every day and pray for a positive spike in value.

Further incentives are required to keep crypto geeks hooked and happy to remain in the crypto ecosystem. Meme coins hit the nail on the head by adding an element of fun with games, NFTs, and an interactive community.

This doesn’t mean the likes of Tether and Binance lose their utility, rather in the grand scheme of things, enjoyable and transcending cryptocurrencies like Big Eyes Coin are likely to entice a greater variety of investors apart from the average crypto nerd.

There Is No Hell For Leather With Tether

As a stablecoin, Tether is never going to set the crypto world alight, but that’s exactly the point. Since its inception in 2014, Tether has always maintained a price of around $1, hence being very ‘stable’.

Tether is the ideal cryptocurrency if you want to broaden your financial portfolio, enter the crypto market for the first time with minimal risks or purchase certain products and services that accept it as payment.

However, unlike Binance or Big Eyes Coin, the potential to make a profit is little to none. So for investors who are only interested in financial gain, Tether doesn’t make much sense.

Binance Does The Basics

Binance Coin is a lot more rounded than Tether. At the time of writing, Binance is priced at $288.32 and peaked at $650.47 back in November 2021. Therefore, there is immense potential to make a profit for savvy investors.

Furthermore, Binance Coin has its own platform. A website where investors can settle transaction fees, take part in exclusive token sales, and pay for a large array of goods and services.

But apart from that, there is nothing overly exciting about Binance. It’s just one cryptocurrency out of many with profit-making potential.

Big Eyes Coin Is Booming

Big Eyes Coin has raised over $9 million in its presale and with several stages to go, the cat currency is only going to generate more funds before its official release.

Not your average crypto, Big Eyes is looking to stand out from an ocean of meme coins by proposing top ten adorable NFTs, an interactive cat-loving community, and charity donations.

Speaking of oceans, Big Eyes Coin intends to donate 5% of its total supply to ocean-saving charities, meaning less global warming, a cleaner environment, and an increased supply of tastier fish for the non-digital cats of the world.

So while investing in an inevitably lucrative coin, investors will simultaneously do their bit to help the planet. Besides, becoming addicted to a range of cute and colourful items in the NFT Sushi Crew.

Still, crypto nerds must act fast if they want to get a headstart on Big Eyes Coin and they can, by using the code BEYES970 for a bonus.

Big Eyes Coin (BIG)

Presale: https://buy.bigeyes.space/

Website: https://bigeyes.space/

Telegram: https://t.me/BIGEYESOFFICIAL

Always conduct proper research when dealing with pre-sales of currencies and tokens. The information above does not constitute investment advice by CryptoMode or its team, nor does it reflect the views of the website or its staff.","This is especially because quirkier, stranger, and ultimately more lucrative cryptos like Big Eyes Coin (BIG) are being introduced.
However, unlike Binance or Big Eyes Coin, the potential to make a profit is little to none.
Big Eyes Coin Is BoomingBig Eyes Coin has raised over $9 million in its presale and with several stages to go, the cat currency is only going to generate more funds before its official release.
So while investing in an inevitably lucrative coin, investors will simultaneously do their bit to help the planet.
Big Eyes Coin (BIG)Presale: https://buy.bigeyes.space/Website: https://bigeyes.space/Telegram: https://t.me/BIGEYESOFFICIALAlways conduct proper research when dealing with pre-sales of currencies and tokens.",3 hours ago,"['cryptocurrencies', 'binance', 'rise', 'coin', 'tether', 'crypto', 'does', 'eyes', 'surpass', 'coins', 'investment', 'cat', 'cryptomode', 'investors', 'big', 'unstoppable']"
2022-10-31 09:40:18.235672,Altcoin Buzz,,,,3 hours ago,[]
,Investing.com,HUSD Loses $1 Peg Following Removal of HUSD trading pairs By CoinEdition,"HUSD Loses $1 Peg Following Removal of HUSD trading pairs

USDT/USD -0.04% Add to/Remove from Watchlist ETH/USD +1.48% Add to/Remove from Watchlist USDC/USD -0.01% Add to/Remove from Watchlist

Huobi has delisted its HUSD stablecoin.

The price of HUSD is down more than 70% from the $1 mark.

Huobi hasn’t provided a reason behind the delisting.

HUSD, the fiat-collateralized stablecoin from Huobi dropped below the dollar mark. At press time, HUSD is priced at $0.29, down more than 60% over the past 24 hours. The drop accelerated after news broke that Huobi was planning on delisting the token. According to the exchange’s official release, the delisting is part of the exchange’s “continuous efforts to promote the healthy development of the blockchain ecosystem.”

HUSD is an ERC-20 stablecoin backed 1:1 by U.S. dollars kept in bank accounts controlled by Paxos in the United States. It was created to combine four stablecoins into a single asset that could be traded on Huobi: Paxos Standard, True USD, , and Gemini Dollars.

HUSD previously de-pegged earlier this year, hitting a low of $0.82 per HUSD on August 18. HUSD fell below the $1 parity on October 11 and again on October 28. In August, when the stablecoin fell below the $1 peg, Huobi tweeted about the issue, stating:

We are aware of the current liquidity issues associated with the HUSD stablecoin, which is issued by Stable Universal Limited and built on the network

More importantly, HUSD’s official Twitter account also announced the shutting down of multiple market maker accounts on the same day. The stablecoin issuer tweeted:

“Recently, we had made the decision to close several accounts in specific regions to comply with legal requirements, which included some market maker accounts. Due to the time difference in banking hours, this resulted in a short-term liquidity problem but has since been resolved.”

The stablecoin was removed from Huobi’s exchange on October 28. Exchange users who had HUSD had their balances automatically converted to , a stablecoin asset. Moreover, the entire conversion process to Tether is expected to be completed by November 4.

Prior to delisting HUSD, Huobi announced that it would be delisting many HUSD token trading pairs. Many expect this to be the move that triggered the de-pegging. As of now, there have been no comments from Huobi as to why it de-listed the stablecoin.

The post HUSD Loses $1 Peg Following Removal of HUSD trading pairs appeared first on Coin Edition.

See original on CoinEdition","HUSD Loses $1 Peg Following Removal of HUSD trading pairsUSDT/USD -0.04% Add to/Remove from Watchlist ETH/USD +1.48% Add to/Remove from Watchlist USDC/USD -0.01% Add to/Remove from WatchlistHuobi has delisted its HUSD stablecoin.
HUSD, the fiat-collateralized stablecoin from Huobi dropped below the dollar mark.
HUSD previously de-pegged earlier this year, hitting a low of $0.82 per HUSD on August 18.
Prior to delisting HUSD, Huobi announced that it would be delisting many HUSD token trading pairs.
The post HUSD Loses $1 Peg Following Removal of HUSD trading pairs appeared first on Coin Edition.",1 mins ago,"['add', 'peg', 'pairs', 'loses', 'following', 'accounts', 'husd', 'trading', 'stablecoin', 'coinedition', 'toremove', 'removal', 'huobi', 'delisting', 'watchlist']"
2022-10-31 03:40:18.249911,DualShockers,Apex Legends: 10 Pro Tips For Playing Ash,"Ash flaunts an impressive and aggressive playstyle, and here are some tips and tricks you can use to play the Legend more effectively in Apex Legends.

There are currently 21 astonishing legends to choose from in Apex Legends. With so many options, it can feel like a daunting task to learn them all and figure out which one suits you best.

RELATED: Apex Legends: Best Tips And Tricks For Playing Revenant

For those who love highly aggressive plays and an extremely versatile tool kit, ash is a great pick. However, there is a lot more to her than what originally meets the eye! Luckily, this guide will go in-depth on some dandy tips and tricks to really master Ash in Apex Legends.

DUALSHOCKERS VIDEO OF THE DAY

10/10 Newton's First Law

In Ash's case, an object in motion really does stay in motion. Ash's tactical ability will fly on indefinitely unless it comes into contact with either an object or an enemy. There are tons of ways to use this to your advantage.

Although it is slow flying, it works wonders at clearing out long hallways and other such environments. Simply send it down parallel to the ground, forcing enemies to flee or get caught. This also works vertically, making it viable for pushing enemies out of position above you.

9/10 Choke Points

While it is not its main purpose, Ash's tactical is phenomenal when it comes to preventing enemies from pushing choke points. Whether you are trying to hide in a building or keep an enemy trapped inside one, very few are willing to risk running directly through a tether trap.

Keep in mind that the tether will stick to a wall or a floor and last for quite a while until it eventually dissolves. This should give you just enough time to use a quick healing item, reload, or even loot.

8/10 Verticality

It is important to note that Ash's ultimate travels extremely far when used vertically. When you find yourself trapped on the low ground with an enemy shooting down on you, it is generally very easy to escape.

If you typically only use the ultimate horizontally, you are really missing out. Don't forget that one of Ash's primary focuses is getting the high ground on enemies. Don't underestimate the potential distance of her ultimate.

7/10 Be Prepared

While Ash is passive, marked for death, and provides vital information on where the enemy is, it can also get you killed. Many players fail to realize that enemies are alerted when they are scanned by Ash. In many circumstances, this effectively reveals to them where you are as well.

All this is to say, make sure your team is prepared to fight before you scan a death box because it is impossible to tell whether the team is across the map or right around the corner.

6/10 Birds Eye

It is often overlooked that Ash can see when death boxes appear all over the map, not just in her immediate vicinity. This is vital information when players are deciding where to rotate as the storm closes. Especially towards the middle of the match, when the fighting slows down in the final rings approach. Whether you want to third-party other fights or avoid enemies, don't forget to check the entire map.

5/10 One Way Trip

While this tip may be a little obvious to those who have played Ash before, many new players don't realize that ashes portal is a one-way trip! This means if you use Ash's ultimate directly into an enemy team, there is no way back.

RELATED: Apex Legends Tier List: Best Characters In Season Fourteen

It's important that players are aware of this because it could mean life or death. Be thorough and scout an area before teleporting. In other words, look before you leap!

4/10 You Are Loud!

Image courtesy Respawn Entertainment

While most legends' ultimate abilities have rather obvious sound cues, perhaps none are as loud as ashes. If you were trying to flank an enemy with her portal, just be aware that they are likely going to know you are coming.

Both the creation, entry, and exit of the portal are extremely loud. The sound is essentially a dead giveaway as to where you and your teammates are. For this reason, it is also important that all team members are aware before Ash uses her ultimate. You don't want an enemy team pushing the sound queue when teammates aren't ready. Ash is not and never was meant to be a stealthy character.

3/10 A Big Bubble

A fantastic perk of Ash's tactical is the sheer square footage that it occupies. A common misconception is that enemies must run directly into the trap for it to take effect, but that is simply not true. A large bubble surrounds the tether, and any enemy unlucky enough to touch it in any capacity will be stunned.

This is valuable info, as it will allow for more thought-out and effective plays with Ash's tactical. For instance, by throwing the ability in a corner with two adjacent doors, you can efficiently block off both entrances from enemy advancements.

2/10 Grenades Are Your Friend

No, really! As Ash, grenades are absolutely indispensable. Thermites and Arc-stars will allow for some of the easiest kills in the game! This is, of course, only true when they are combined with Ash's aforementioned tactical. Snag an opposing player and light them up with explosives! With no way to defend themselves, it is practically a guaranteed knock.

There is, however, a balance of how many grenades you should carry. Everybody has a different play style, but it is recommended to carry 2 grenades in a gray backpack and to add 2 to the mix for every additional level. Depending on how efficient you are with your tactical though, it may be wise to carry a couple more.

1/10 The Getaway

When it comes to making those quick escapes, Ash's kit rivals even the very best. This is due mostly to one incredible combo! The icing on the cake? It is unbelievably easy to pull off.

Most aggressive enemies will chase the Ash mains through their portals for a kill, but this can be easily countered with Ash's tactical ability. Before using the Phase Breach ability, simply throw a tether directly at your feet! (Don't worry, it won't snare you!) This will prevent any enemies from being able to follow you through the portal - at least for a few seconds. This will give you precious time to recoup and maybe even throw a few Thermites at the portal exit if they still decide to push!

NEXT: Apex Legends: Pro Tips For Playing Fuse","Ash flaunts an impressive and aggressive playstyle, and here are some tips and tricks you can use to play the Legend more effectively in Apex Legends.
There are currently 21 astonishing legends to choose from in Apex Legends.
RELATED: Apex Legends: Best Tips And Tricks For Playing RevenantFor those who love highly aggressive plays and an extremely versatile tool kit, ash is a great pick.
Luckily, this guide will go in-depth on some dandy tips and tricks to really master Ash in Apex Legends.
NEXT: Apex Legends: Pro Tips For Playing Fuse",9 hours ago,"['ashs', 'apex', 'enemies', 'enemy', 'tips', 'ultimate', 'legends', 'team', 'ash', 'playing', 'tactical', 'dont', 'pro']"
2022-10-31 10:40:18.261339,Los Angeles Times,Op-Ed: Searching for ties to the Middle East in my mother’s old photos,"Among a stack of photos from my mother’s childhood is a black-and-white picture from when she was 7 or 8. She’s standing on the sunlit balcony of her family’s apartment in Cairo. Her face looks directly into the camera, half in shadow.

Revisiting old photographs has become like the rituals my mother tried to preserve at our home in Ohio — the way she’d prepare Turkish coffee when my maternal grandmother would visit; the lamb she’d cook at Christmas with slivers of almonds and raisins buried in the rice; her love of Egypt’s legendary singer Umm Kulthum, whose melodic and low voice my mother taught me was like a sadness.

It wasn’t sudden like a spark, but gradual with time, that I realized the full extent of what I’d lost when my mother died 12 years ago. In addition to her presence in my life, her voice, any fight we’d ever have again, what dissipated like dew was a tangible connection to the Middle East. For me, photos have bridged the loss.

Advertisement

My 95-year-old grandmother has created her own rituals of remembrance, collecting items in the spare bedroom in her apartment in Montreal into a shrine of her daughter’s things: Paintings, photographs and handwritten cards hang on the walls and spill over the end table.

“You can have anything you want in here,” she said, the last time I visited, as if removing one item would relieve some unseen pressure.

In many ways, we use rituals to tether us to a particular place or a community of people. I see now that my mother’s rituals were her small ways to hold on to what she and my dad left behind before immigrating to the U.S. It was also her way to tether my brother and me — American-born children — to where our family came from.

I am learning that rituals are not just old practices that are passed down through generations. They can be something new and created — like a habit or a process — to deal with loss and the heavy weight of grief.

Since my mother died, I have been curating an envelope of photographs from our family trips to Egypt. Here I am — at 6 and 12 and 17. You’ll catch our faces in front of the pyramids or standing by the Nile River in either Luxor or Aswan. There we are with extended family in their Cairene apartments, our bulky sweaters giving away the time of year. Here I am eating pigeon for the first time, an Egyptian delicacy, my mother would tell me, as I licked the grease from my fingers, trying not to look too closely at the shape of the small, delicate body on my plate.

These are mixed with black-and-white photos from when my mom was a kid — like the one on the balcony — many unmarked, devoid of location or date or time.

I piece together clues. My mother and her mother on top of cragged rocks in front of an unnamed sea, faces windswept and out of focus. My mother’s school headshot — this one with a date — she’s 15 and frozen as a gangly teen with a gap in her teeth she chose to never fix.

I inherited these boxes of family photographs after she died. Each time I tried to remove a cardboard lid and put order to the chaos of the images inside, I became instantly overwhelmed: “How,” I asked myself, “can I possibly do this without her?”

Over time, I turned the weight into a ritual. I periodically open a dented box, pull out one or two photos I remember or want to know more about and put them in a separate envelope. I tuck the envelope into my desk drawer and close the door until I have an urge to look at them.

I don’t know what I’m looking for in this bouquet of photographs. But the process of finding a long-lost photo brings me back to everything I miss that made the Middle East come alive in our every day: the sound of my mother’s Arabic and French, mixed in a messy sentence; the traditional meals she cooked — kofta, kousa, ful and taamiya, basboosa and baklava; the smells of her spice rack and her pantry, like another family member. All of it returns as two-dimensional images invoke whole scenes and trigger every sense.

My grandmother told me this year that she’d like my 8-year-old daughter to have her old photographs, as if this is another of her own rituals, the transfer of memories to the next generation.

I didn’t respond, worried about what it would mean for my daughter to carry the weight of unnamed faces, unmarked places and unknown dates with her in tattered boxes.

But perhaps it’s not for me to say.

Perhaps it’s up to my daughter to uncover her own ritual among these photos, and to weave together the pieces she hopes never to lose.

Yasmin Mariam Kloth is a poet in Cincinnati. Her debut collection, “Ancestry Unfinished: Poems of a Lost Generation,” is about her family memories and the Middle East. @yasminkloth","Among a stack of photos from my mother’s childhood is a black-and-white picture from when she was 7 or 8.
I see now that my mother’s rituals were her small ways to hold on to what she and my dad left behind before immigrating to the U.S.
I am learning that rituals are not just old practices that are passed down through generations.
I inherited these boxes of family photographs after she died.
Her debut collection, “Ancestry Unfinished: Poems of a Lost Generation,” is about her family memories and the Middle East.",2 hours ago,"['east', 'mother', 'ties', 'searching', 'rituals', 'mothers', 'middle', 'photos', 'weight', 'oped', 'family', 'photographs', 'shed', 'old']"
2022-10-31 10:40:18.272544,Yahoo News,Op-Ed: Searching for ties to the Middle East in my mother's old photos,"The ancient temple along the banks of the Nile River in Luxor, Egypt. (Khalil Hamra / Associated Press)

Among a stack of photos from my mother’s childhood is a black-and-white picture from when she was 7 or 8. She’s standing on the sunlit balcony of her family’s apartment in Cairo. Her face looks directly into the camera, half in shadow.

Revisiting old photographs has become like the rituals my mother tried to preserve at our home in Ohio — the way she’d prepare Turkish coffee when my maternal grandmother would visit; the lamb she’d cook at Christmas with slivers of almonds and raisins buried in the rice; her love of Egypt’s legendary singer Umm Kulthum, whose melodic and low voice my mother taught me was like a sadness.

It wasn’t sudden like a spark, but gradual with time, that I realized the full extent of what I’d lost when my mother died 12 years ago. In addition to her presence in my life, her voice, any fight we’d ever have again, what dissipated like dew was a tangible connection to the Middle East. For me, photos have bridged the loss.

My 95-year-old grandmother has created her own rituals of remembrance, collecting items in the spare bedroom in her apartment in Montreal into a shrine of her daughter’s things: Paintings, photographs and handwritten cards hang on the walls and spill over the end table.

“You can have anything you want in here,” she said, the last time I visited, as if removing one item would relieve some unseen pressure.

In many ways, we use rituals to tether us to a particular place or a community of people. I see now that my mother’s rituals were her small ways to hold on to what she and my dad left behind before immigrating to the U.S. It was also her way to tether my brother and me — American-born children — to where our family came from.

I am learning that rituals are not just old practices that are passed down through generations. They can be something new and created — like a habit or a process — to deal with loss and the heavy weight of grief.

Since my mother died, I have been curating an envelope of photographs from our family trips to Egypt. Here I am — at 6 and 12 and 17. You’ll catch our faces in front of the pyramids or standing by the Nile River in either Luxor or Aswan. There we are with extended family in their Cairene apartments, our bulky sweaters giving away the time of year. Here I am eating pigeon for the first time, an Egyptian delicacy, my mother would tell me, as I licked the grease from my fingers, trying not to look too closely at the shape of the small, delicate body on my plate.

Story continues

These are mixed with black-and-white photos from when my mom was a kid — like the one on the balcony — many unmarked, devoid of location or date or time.

I piece together clues. My mother and her mother on top of cragged rocks in front of an unnamed sea, faces windswept and out of focus. My mother’s school headshot — this one with a date — she’s 15 and frozen as a gangly teen with a gap in her teeth she chose to never fix.

I inherited these boxes of family photographs after she died. Each time I tried to remove a cardboard lid and put order to the chaos of the images inside, I became instantly overwhelmed: “How,” I asked myself, “can I possibly do this without her?”

Over time, I turned the weight into a ritual. I periodically open a dented box, pull out one or two photos I remember or want to know more about and put them in a separate envelope. I tuck the envelope into my desk drawer and close the door until I have an urge to look at them.

I don’t know what I’m looking for in this bouquet of photographs. But the process of finding a long-lost photo brings me back to everything I miss that made the Middle East come alive in our every day: the sound of my mother’s Arabic and French, mixed in a messy sentence; the traditional meals she cooked — kofta, kousa, ful and taamiya, basboosa and baklava; the smells of her spice rack and her pantry, like another family member. All of it returns as two-dimensional images invoke whole scenes and trigger every sense.

My grandmother told me this year that she’d like my 8-year-old daughter to have her old photographs, as if this is another of her own rituals, the transfer of memories to the next generation.

I didn’t respond, worried about what it would mean for my daughter to carry the weight of unnamed faces, unmarked places and unknown dates with her in tattered boxes.

But perhaps it’s not for me to say.

Perhaps it’s up to my daughter to uncover her own ritual among these photos, and to weave together the pieces she hopes never to lose.

Yasmin Mariam Kloth is a poet in Cincinnati. Her debut collection, “Ancestry Unfinished: Poems of a Lost Generation,” is about her family memories and the Middle East. @yasminkloth

This story originally appeared in Los Angeles Times.","(Khalil Hamra / Associated Press)Among a stack of photos from my mother’s childhood is a black-and-white picture from when she was 7 or 8.
I see now that my mother’s rituals were her small ways to hold on to what she and my dad left behind before immigrating to the U.S.
I am learning that rituals are not just old practices that are passed down through generations.
I inherited these boxes of family photographs after she died.
Her debut collection, “Ancestry Unfinished: Poems of a Lost Generation,” is about her family memories and the Middle East.",2 hours ago,"['east', 'mother', 'ties', 'searching', 'rituals', 'mothers', 'middle', 'photos', 'weight', 'oped', 'family', 'photographs', 'shed', 'old']"
